cycle_id,ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
14914080,2026-09-18 09:02:58,sim1,000660,SK하이닉스,skip,price_moved,1810000.0,3.72,176946330500.0,21.7,106.87,512.0,339.0,1.51,1.0,512.00,2507,4.90,1.0000,,,,,0.133,0.6,,-2.004,0.793,0.000,-2.364,0,1,0.000
14914085,2026-09-18 09:12:40,sim1,005930,삼성전자,skip,held,259000.0,2.57,374580397000.0,18.9,78.58,591.0,382.0,1.55,1.0,591.00,2778,4.70,0.4308,,,,,0.033,0.1,,-2.004,1.348,0.000,-2.068,0,1,0.000
14914085,2026-09-18 09:12:40,sim1,034020,두산에너빌리티,skip,weak_demand,86000.0,0.70,26291539900.0,38.6,55.18,78.0,57.0,1.37,1.0,78.00,626,8.03,0.0569,,,,,0.067,0.4,,0.310,0.238,0.000,0.168,0,1,0.000
14914085,2026-09-18 09:12:40,sim1,000660,SK하이닉스,skip,price_moved,1817000.0,4.13,516136038000.0,21.7,129.02,543.0,353.0,1.54,1.0,543.00,2566,4.73,0.3958,,,,,0.133,0.6,,-2.004,0.793,0.000,-2.364,0,1,0.000
14914085,2026-09-18 09:12:40,sim1,010170,대한광통신,skip,price_moved,17250.0,6.94,113235315485.0,94.6,139.39,54.0,37.0,1.46,1.0,54.00,341,6.31,0.0394,,,,,0.133,0.2,,0.085,0.238,0.000,0.049,0,1,0.000
14914085,2026-09-18 09:12:40,sim1,201490,미투온,skip,price_moved,4360.0,-5.93,9617512582.0,82.6,52.43,63.0,46.0,1.37,1.0,63.00,361,5.73,0.0459,,,,,0.033,0.3,,-1.657,0.238,0.000,-1.017,0,1,0.000
14914085,2026-09-18 09:12:40,sim1,950260,인제니아테라퓨틱스(Reg.S),skip,price_moved,20200.0,12.66,27638946330.0,44.1,124.8,43.0,32.0,1.34,1.0,43.00,84,1.95,0.0313,,,,,0.067,0.5,,0.000,0.000,0.000,0.000,1,1,0.000
14914090,2026-09-18 09:22:53,sim1,005930,삼성전자,skip,held,260000.0,2.97,460364014000.0,18.9,100.99,654.0,413.0,1.58,1.0,654.00,2894,4.43,0.4255,,,,,0.033,0.1,,-2.004,1.348,0.000,-2.068,0,1,0.000
14914090,2026-09-18 09:22:53,sim1,034020,두산에너빌리티,skip,weak_demand,85600.0,0.23,36323676050.0,38.6,55.41,96.0,65.0,1.48,1.0,96.00,650,6.77,0.0625,,,,,0.100,0.4,,0.310,0.238,0.000,0.168,0,1,0.000
14914090,2026-09-18 09:22:53,sim1,010170,대한광통신,skip,price_moved,17370.0,7.69,198804830335.0,94.6,130.03,71.0,51.0,1.39,1.0,71.00,436,6.14,0.0462,,,,,0.100,0.3,,0.085,0.238,0.000,0.049,0,1,0.000
14914090,2026-09-18 09:22:53,sim1,201490,미투온,skip,price_moved,4320.0,-6.80,14234314709.0,82.6,47.2,80.0,55.0,1.45,1.0,80.00,405,5.06,0.0520,,,,,0.033,0.5,,-1.657,0.238,0.000,-1.017,0,1,0.000
14914090,2026-09-18 09:22:53,sim1,950260,인제니아테라퓨틱스(Reg.S),skip,price_moved,19670.0,9.70,41412664545.0,44.1,112.72,54.0,38.0,1.42,1.0,54.00,118,2.19,0.0351,,,,,0.167,0.2,,0.000,0.000,0.000,0.000,1,1,0.000
14914090,2026-09-18 09:22:53,sim1,000660,SK하이닉스,skip,price_moved,1822000.0,4.41,705428886500.0,21.7,133.64,582.0,375.0,1.55,1.0,582.00,2683,4.61,0.3787,,,,,0.133,0.6,,-2.004,0.793,0.000,-2.364,0,1,0.000
14914095,2026-09-18 09:32:39,sim1,005930,삼성전자,skip,held,259750.0,2.87,542475875500.0,18.9,110.96,706.0,443.0,1.59,1.0,706.00,2980,4.22,0.4235,,,,,0.033,0.1,,-2.004,1.348,0.000,-2.068,0,1,0.000
14914095,2026-09-18 09:32:39,sim1,034020,두산에너빌리티,skip,weak_demand,85800.0,0.47,45277592150.0,38.6,61.26,111.0,73.0,1.52,1.0,111.00,699,6.30,0.0666,,,,,0.100,0.4,,0.310,0.238,0.000,0.168,0,1,0.000
14914095,2026-09-18 09:32:39,sim1,010170,대한광통신,skip,price_moved,17370.0,7.69,232330915245.0,94.6,122.69,85.0,59.0,1.44,1.0,85.00,516,6.07,0.0510,,,,,0.100,0.2,,0.085,0.238,0.000,0.049,0,1,0.000
14914095,2026-09-18 09:32:39,sim1,201490,미투온,skip,price_moved,4295.0,-7.34,16124940276.0,82.6,50.81,90.0,62.0,1.45,1.0,90.00,455,5.06,0.0540,,,,,0.033,0.1,,-1.657,0.238,0.000,-1.017,0,1,0.000
14914095,2026-09-18 09:32:39,sim1,950260,인제니아테라퓨틱스(Reg.S),skip,price_moved,19160.0,6.86,48209144135.0,44.1,100.42,61.0,43.0,1.42,1.0,61.00,118,1.93,0.0366,,,,,0.133,0.3,,0.000,0.000,0.000,0.000,1,1,0.000
14914095,2026-09-18 09:32:39,sim1,000660,SK하이닉스,skip,price_moved,1826000.0,4.64,882855015500.0,21.7,129.92,614.0,391.0,1.57,1.0,614.00,2813,4.58,0.3683,,,,,0.133,0.6,,-2.004,0.793,0.000,-2.364,0,1,0.000
