date,code,name,nid,title,likes
20260901,096770,SK이노베이션,428722092,거래량터진것보고,0
20260901,096770,SK이노베이션,428721500,좋네,1
20260901,096770,SK이노베이션,428721329,오늘도 감사합니다 평단 105100,1
20260901,096770,SK이노베이션,428721312,갭상,2
20260901,096770,SK이노베이션,428721220,오늘 8프로짜리 장대양봉슨다,2
20260901,096770,SK이노베이션,428721027,흠... 판단이 서질 않네.... 제대로 ...,1
20260901,096770,SK이노베이션,428720880,장외홈런 전문입니다,1
20260901,096770,SK이노베이션,428720843,장전  올리는척하고 다팔아먹네 종가 급락 ...[1],1
20260901,096770,SK이노베이션,428720824,내가 졌다고~~~[2],0
20260901,096770,SK이노베이션,428720812,주식21년건물주형님 정말 언제 한번 식사대...,1
20260901,096770,SK이노베이션,428720795,합병취소,1
20260901,096770,SK이노베이션,428720700,배당 주당1만원 공시해라,9
20260901,096770,SK이노베이션,428720565,모지리들아ㅋㅋ ㅋ 이게 올라가는것으로 보이...,1
20260901,096770,SK이노베이션,428720344,소재ㆍ좋고,3
20260901,096770,SK이노베이션,428720335,오늘도 뻔한 패턴,2
20260901,096770,SK이노베이션,428720035,오늘은 떨어지겟네,3
20260901,096770,SK이노베이션,428719854,공매자들[1],1
20260901,096770,SK이노베이션,428719779,"반도체 관련주가 대세 지만, +에너지주는 ...",8
20260901,096770,SK이노베이션,428719765,11만원  대기중,2
20260901,096770,SK이노베이션,428719701,몸집크게하고,1
20260901,096770,SK이노베이션,428719643,내ㆍ머라디 ㅋ,0
20260901,096770,SK이노베이션,428719589,진짜 다필요없고 gs는 넘어서자 오늘.,1
20260901,096770,SK이노베이션,428719587,또 13에 대가리맞고 떨어질려나?,2
20260901,096770,SK이노베이션,428719515,마~~~니  태워서ᆢ오늘ㆍ,2
20260901,096770,SK이노베이션,428719463,"■ 대장주, 삼성sdi",0
20260901,096770,SK이노베이션,428719330,국장은 목표주가,4
20260901,096770,SK이노베이션,428719301,유가가 대폭등,4
20260901,096770,SK이노베이션,428719291,밑에서 잡은 사람들만[1],10
20260901,096770,SK이노베이션,428719277,Sdi가 시총 50조인데,6
20260901,096770,SK이노베이션,428719258,거래량 벌써,7
20260901,096770,SK이노베이션,428719247,오늘은,1
20260901,096770,SK이노베이션,428719240,찬티들또,3
20260901,096770,SK이노베이션,428719102,새로운 리서치가 있어요 📝,4
20260901,096770,SK이노베이션,428719097,오늘ㆍ상쳐도ᆢ,4
20260901,096770,SK이노베이션,428719054,매일 매일 월급 이상으로 버는데[2],2
20260901,096770,SK이노베이션,428719011,미장 네오볼타,3
20260901,096770,SK이노베이션,428718969,장전  개미  꼬시면서 올리는척하고 다털고나가...,0
20260901,096770,SK이노베이션,428718839,오늘도  아침부터 거래량좋노,5
20260901,096770,SK이노베이션,428718838,정유 + ess,3
20260901,096770,SK이노베이션,428718664,ㅋ  목표가어제경제뉴스서[1],4
20260901,096770,SK이노베이션,428718472,얜ㆍ유가올라도   호재뜬다~ㅋ,1
20260901,096770,SK이노베이션,428718471,쫄지는마라. 초장이나 본장이나 개미털기인지 하...,2
20260901,096770,SK이노베이션,428718382,오늘 상 한가 친다,9
20260901,096770,SK이노베이션,428718243,14 터치,4
20260901,096770,SK이노베이션,428718232,발바닥에 사서 정수리에 팔아라,2
20260901,096770,SK이노베이션,428718126,돈을 벌고있나 이게 중요함,2
20260901,096770,SK이노베이션,428717912,축하드립니다,8
20260901,096770,SK이노베이션,428717905,베네수엘라 유전으로 오늘날라가것네,4
20260901,096770,SK이노베이션,428717890,9월 증권사 유가 기존전망 70불(두바이기준)...,4
20260901,096770,SK이노베이션,428717629,헐 대폭락 오나??[2],4
20260901,096770,SK이노베이션,428717610,올린 이유가 이거냐??,3
20260901,096770,SK이노베이션,428717405,"트럼프 ""공습 제한적..호르무즈 정상""[3]",3
